

===== 2026-08-17T09:05:50 START C:\Users\sasit\AppData\Local\Programs\Python\Python310\pythonw.exe D:\kabu\main\1-スクリーニング自動化プログラム\main\浮動.py --refresh-days 7 =====
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^GRT250.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^GRT250.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^GRT250.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^GSPC.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^GSPC.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^GSPC.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^IXIC.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^IXIC.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^IXIC.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^JPXNK400.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^JPXNK400.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^JPXNK400.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^MOTHERS.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^MOTHERS.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^MOTHERS.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^N225.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^N225.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^N225.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^TRJ.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^TRJ.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^TRJ.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^VIX.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^VIX.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^VIX.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^TOPX.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^TOPX.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^TOPX.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^DJI.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^DJI.T"}}}
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ^DJI.T"}}}
[float-shares] 対象=125 refresh_days=7
[1/125] 1833.T: float=None shares=35905223
[2/125] 1909.T: float=None shares=26814704
[3/125] 1975.T: float=None shares=25875683
[4/125] 2331.T: float=None shares=486062206
[5/125] 2413.T: float=None shares=667430061
[6/125] 2440.T: float=None shares=56374138
[7/125] 2461.T: float=None shares=65655829
[8/125] 2588.T: float=None shares=21485902
[9/125] 2796.T: float=None shares=11502525
[10/125] 2907.T: float=None shares=7485447
[11/125] 3010.T: float=None shares=233912926
[12/125] 3023.T: float=None shares=10540067
[13/125] 3040.T: float=None shares=18541390
[14/125] 3137.T: float=None shares=12675000
[15/125] 3183.T: float=None shares=27498836
[16/125] 3224.T: float=None shares=5339346
[17/125] 3387.T: float=None shares=451001006
[18/125] 3484.T: float=None shares=16810540
[19/125] 3708.T: float=None shares=34848131
[20/125] 3741.T: float=None shares=10209612
[21/125] 4043.T: float=None shares=71945163
[22/125] 4044.T: float=None shares=24792784
[23/125] 4055.T: float=None shares=7478660
[24/125] 4071.T: float=None shares=42402150
[25/125] 4072.T: float=None shares=10715400
[26/125] 4205.T: float=None shares=191345507
[27/125] 4272.T: float=None shares=147293885
[28/125] 4432.T: float=None shares=34690738
[29/125] 4526.T: float=None shares=29209999
[30/125] 4619.T: float=None shares=21292151
[31/125] 4680.T: float=None shares=262872673
[32/125] 4732.T: float=None shares=454040498
[33/125] 4887.T: float=None shares=115485634
[34/125] 5201.T: float=None shares=212393793
[35/125] 5302.T: float=None shares=10828591
[36/125] 5393.T: float=None shares=187949704
[37/125] 5702.T: float=None shares=39572274
[38/125] 5703.T: float=None shares=61591150
[39/125] 6189.T: float=None shares=9529867
[40/125] 6269.T: float=None shares=68344260
[41/125] 6393.T: float=None shares=3556531
[42/125] 6485.T: float=None shares=20357929
[43/125] 6525.T: float=None shares=233383846
[44/125] 6568.T: float=None shares=7741320
[45/125] 6613.T: float=None shares=41840046
[46/125] 6616.T: float=None shares=10592037
[47/125] 6622.T: float=None shares=23606814
[48/125] 6638.T: float=None shares=28962385
[49/125] 6674.T: float=None shares=100319344
[50/125] 6718.T: float=None shares=16366833
[51/125] 6841.T: float=None shares=250242336
[52/125] 6941.T: float=None shares=18456920
[53/125] 6962.T: float=None shares=31803930
[54/125] 7077.T: float=591123 shares=1806832
[55/125] 7198.T: float=None shares=44452310
[56/125] 7238.T: float=None shares=271430003
[57/125] 7245.T: float=None shares=46368123
[58/125] 7276.T: float=None shares=257489627
[59/125] 7438.T: float=None shares=25634960
[60/125] 7447.T: float=None shares=29562374
[61/125] 7532.T: float=None shares=2989478375
[62/125] 7554.T: float=None shares=19111819
[63/125] 7607.T: float=None shares=13414559
[64/125] 7616.T: float=None shares=106305791
[65/125] 7640.T: float=None shares=15610920
[66/125] 7734.T: float=None shares=45455784
[67/125] 7779.T: float=None shares=133431005
[68/125] 7795.T: float=None shares=41997950
[69/125] 7818.T: float=None shares=56543188
[70/125] 7974.T: float=None shares=1152873205
[71/125] 8051.T: float=None shares=87392976
[72/125] 8081.T: float=None shares=22295661
[73/125] 8101.T: float=None shares=12136035
[74/125] 8117.T: float=None shares=55264839
[75/125] 8153.T: float=None shares=30861091
[76/125] 8163.T: float=None shares=41354126
[77/125] 8219.T: float=None shares=141947727
[78/125] 8439.T: float=None shares=488761866
[79/125] 8697.T: float=None shares=1018441199
[80/125] 8766.T: float=None shares=1899768809
[81/125] 8830.T: float=None shares=923616325
[82/125] 8881.T: float=None shares=46704621
[83/125] 9005.T: float=None shares=563412805
[84/125] 9045.T: float=None shares=100900435
[85/125] 9324.T: float=None shares=28710650
[86/125] 9330.T: float=None shares=1433455
[87/125] 9336.T: float=None shares=99876224
[88/125] 9364.T: float=None shares=98148483
[89/125] 9691.T: float=None shares=3498444
[90/125] 9739.T: float=None shares=14899377
[91/125] 9769.T: float=None shares=10868197
[92/125] 9850.T: float=None shares=22874025
[93/125] 9880.T: float=None shares=12034647
[94/125] 9900.T: float=None shares=30124548
[95/125] 9990.T: float=None shares=29268436
